STATUS,POLÍTICA COML.,CODIGO,VD ANTIGO 1,VD ANTIGO 2,PEOPLE,LOJAS,REGIAO GGL,REGIAO GR,REGIAO DIV,NOME GGL,NOME GR,NOME DIV,BRICK,REGIAO IM,ENDEREÇO,BAIRRO,CIDADE,ESTADO,CEP,LATITUDE,LONGITUDE,NOME DA FACHADA,DATA INAUGURAÇÂO,POLO DELIVERY,SAFRA,CLUSTER,TIPO LOJA,VAGAS/ESTACIONAMENTO,PDVs ATIVOS,CD SUPRIDOR,INSCR. ESTADUAL,CNPJ,CENTRO DE CUSTOS,ÁREA DE VENDA,METRO LINEAR,ESCOAMENTO,CLUSTER DE PARCELAMENTO,TELEFONE1,TELEFONE2,CELULAR,E-MAIL,SAB,DOM,FUNC.,2ª a 6ª,PSICOTRÓPICOS,FARMÁCIA POP.,SERVIÇOS FARMACEUTICOS,VACINAS,EAC,DENGUE/COVID,INJETAVEIS,IFOOD,RAPPI,UBER,SUPER EXPRESSA,INICIO DE OBRA,TERMINO DE OBRA,FACHADA,BANDEIRA,BICICLETARIO,IMOBILIÁRIO,REALOCAÇÃO,DATA DA VIRADA,DATA INATIVACAO
INATIVA,9.0,485,,,VD485,DSP SHOPPING ARICANDUVA II,,,,,,,,,"AVENIDA ARICANDUVA,5555 ARCOS  58 E 59",VILA MATILDE,SAO PAULO,SP,3527000,0.0,0.0,DROGARIA SAO PAULO,2001-11-01 00:00:00,NÃO,MADURA,CONCEITO,SEM TIPO FILIAL,0.0,3.0,VD903,147.046.959.110,47.410.592/0056-57,,0.0,0.0,,,,,,,,,,,,NÃO COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,,,,,,,,DSP,,,,,14/05/2012
ATIVA,866.0,489,,,VD489,DSP BARAO DE JACAREI,SP ATIBAIA,SP INTERIOR,SP,JAQUELINE AMATI,FERNANDA MALAQUIAS,BRUNA COSTA,,,"RUA BARAO DE JACAREI,359",CENTRO,JACAREI,SP,12308000,-23.303960999999997,-45.96374,DROGARIA SAO PAULO,2003-10-01 00:00:00,NÃO,MADURA,CBR_G,Shopping,0.0,3.0,VD910,392.109.043.112,61.412.110/0333-20,2004890000.0,104.0,49.02,NORMAL,PADRÃO,(12)3968-0596,39680595,12996374080,shopjacarei@dpsp.com.br,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,07 ÀS 23,COMERCIALIZA,COMERCIALIZA,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,INATIVO,INATIVO,ATIVO,,,NEW,DSP,-,TAKANO,NÃO,-,
ATIVA,79.0,498,,,VD498,DSP PEDRO DE TOLEDO,SP MOEMA,SP SUL,SP,ANTONIO MARCOS,ALLAN YOUNG,BRUNA COSTA,,,RUA  PEDRO DE TOLEDO 319,VL CLEMENTINO,SAO PAULO,SP,4039300,-23.598952,-46.639916,DROGARIA SAO PAULO,2006-01-01 00:00:00,NÃO,MADURA,AR_G,Esquina,8.0,3.0,VD910,147.888.072.112,61.412.110/0380-47,2004980000.0,183.75,90.0,NORMAL,PADRÃO,(11)5549-7304,50831647,11910394669,ptoledo@dpsp.com.br,05 ÀS 22,07 ÀS 23,DOMINGOS E FERIADOS,05 ÀS 22,COMERCIALIZA,COMERCIALIZA,ATIVO,INATIVO,INATIVO,ATIVO,ATIVO,ATIVO,INATIVO,ATIVO,ATIVO,,,N/C,DSP,-,TAKANO,NÃO,-,
ATIVA,842.0,499,,,VD499,DSP PRAIA GRANDE,SP LITORAL SUL,SP LITORAL+ABC,SP,HOCIA SILVA,ANDERSON SANTOS,BRUNA COSTA,,,AV COSTA E SILVA  N 433   LJ01,BOQUEIRAO,PRAIA GRANDE,SP,11701000,-24.007047,-46.413601,DROGARIA SAO PAULO,2006-03-01 00:00:00,NÃO,MADURA,CBR_M,Esquina,0.0,3.0,VD910,558.119.938.115,61.412.110/0368-50,2004990000.0,186.12,61.02,NORMAL,PADRÃO,(13)3491-7566,34731035,13996997624,pgrande@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,INATIVO,INATIVO,ATIVO,2023-07-31,2023-09-22,NEW,DSP,-,ANTIGO,NÃO,-,
ATIVA,55.0,504,,,VD504,DSP BARUERI II,SP ALPHAVILLE,SP CENTRO,SP,ANDRE RAMOS,OLIVEIRA JUNIOR,BRUNA COSTA,,,RUA CAMPOS SALES N 591,CENTRO,BARUERI,SP,6401000,-23.506569,-46.875578,DROGARIA SAO PAULO,2006-09-01 00:00:00,NÃO,MADURA,CBR_M,Meio de Quadra,4.0,3.0,VD910,206.130.079.110,61.412.110/0348-07,2005040000.0,171.56,59.04,NORMAL,PADRÃO,(11)4198-9399,(11)41986813,(11)963918471,barueri2@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,ATIVO,INATIVO,ATIVO,ATIVO,,,N/C,DSP,-,ANTIGO,NÃO,-,
ATIVA,73.0,508,,,VD508,DSP SHOPPING SANTANA,SP SANTANA,SP LESTE,SP,ADRIANA ROTA,VALTER TOMAZ,BRUNA COSTA,,,AV CONSELHEIRO MOREIRA DE BARROS N  2780 LOJAS 1030 E 1,SANTANA,SAO PAULO,SP,2430001,-23.483081,-46.645235,DROGARIA SAO PAULO,2007-10-01 00:00:00,NÃO,MADURA,CBR_P,Shopping,1.0,3.0,VD910,147.812.554.119,61.412.110/0318-91,2005080000.0,126.05,51.06,NORMAL,PADRÃO,(11)2238-3207,22364521,11998416307,shopsantana@dpsp.com.br,10 ÀS 22,12 ÀS 20,DOMINGOS E FERIADOS,10 ÀS 22,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,INATIVO,INATIVO,INATIVO,INATIVO,,,NEW,DSP,-,ANTIGO,NÃO,-,
ATIVA,85.0,511,,,VD511,DSP RICARDO JAFET,SP IPIRANGA,SP SUL,SP,CAROL NOGUEIRA,ALLAN YOUNG,BRUNA COSTA,,,AV DR RICARDO JAFET NR 3294  LJ 01,VILA GUMERCINDO,SAO PAULO,SP,4123020,-23.602750999999998,-46.625519,DROGARIA SAO PAULO,2009-02-01 00:00:00,NÃO,MADURA,AR_P,Posto de Gasolina,4.0,3.0,VD910,147.856.143.113,61.412.110/0361-84,2005110000.0,188.77,66.06,ESCOADORA,PADRÃO,(11)5071-5236,55940226,11910219918,rjaffet@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,ATIVO,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,ATIVO,INATIVO,ATIVO,2023-04-28,2023-06-01,NEW,DSP,-,TAKANO,NÃO,-,
INATIVA,9.0,518,,,VD518,DSP REPUBLICA DO LIBANO,,,,,,,,,AVENIDA REPUBLICA DO LIBANO N  2196,INDIANOPOLIS,SAO PAULO,SP,4502200,0.0,0.0,DROGARIA SAO PAULO,2009-12-01 00:00:00,NÃO,MADURA,CONCEITO,SEM TIPO FILIAL,4.0,2.0,VD902,147.856.082.112,00.000.000/0000-00,,0.0,0.0,,,,,,,,,,,,NÃO COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,,,,,,,,DSP,,,,,19/03/2012
ATIVA,85.0,520,,,VD520,DSP MIRANDOPOLIS,SP MOEMA,SP SUL,SP,ANTONIO MARCOS,ALLAN YOUNG,BRUNA COSTA,,,RUA DAS ROSAS N 515,INDIANOPOLIS,SAO PAULO,SP,4029000,-23.606358,-46.641673999999995,DROGARIA SAO PAULO,2010-01-01 00:00:00,NÃO,MADURA,CBR_M,Meio de Quadra,6.0,3.0,VD910,147.856.073.111,61.412.110/0354-55,2005200000.0,454.0,42.06,ESCOADORA,PADRÃO,(11)2276-0942,22764308,11910394329,mirandopolis@dpsp.com.br,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,07 ÀS 23,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,INATIVO,ATIVO,ATIVO,,,N/C,DSP,-,ANTIGO,NÃO,-,
ATIVA,842.0,212,,,VD212,DSP PEDRO LESSA,SP SANTOS,SP LITORAL+ABC,SP,CAIO MONTEIRO,ANDERSON SANTOS,BRUNA COSTA,,,"AV. PEDRO LESSA,1344",PONTA DA PRAIA,SANTOS,SP,11025000,-23.973948999999998,-46.305536,DROGARIA SAO PAULO,2006-07-26 00:00:00,NÃO,MADURA,POP_M,Meio de Quadra,3.0,3.0,VD910,633.661.562.115,61.412.110/0196-89,2002120000.0,128.0,64.02,NORMAL,PADRÃO,(13)3301-9345,32715876,13996999697,plessa@dpsp.com.br,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,07 ÀS 23,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,INATIVO,INATIVO,ATIVO,,,OLD,DSP,-,ANTIGO,NÃO,-,
INATIVA,941.0,215,,,VD215,DSP SALVADOR,BA SSA SUL,NORDESTE,,,,,,,"AV. SETE DE SETEMBRO,271",DOIS DE JULHO,SALVADOR,BA,40060000,-12.980402999999999,-38.514464,DROGARIA SAO PAULO,2007-01-12 00:00:00,NÃO,MADURA,CBR_G,Centro Comercial Serviço,0.0,5.0,VD915,69409690,61.412.110/0220-43,2002150000.0,101.02,43.02,,,,,,,,,,,,BLOQUEADA,INATIVO,INATIVO,INATIVO,INATIVO,INATIVO,,,,,,,,DSP,,,,,17/06/2024
ATIVA,130.0,211,,,VD211,DSP BARAO DE MAUA,SP SANTO ANDRE,SP LITORAL+ABC,SP,JAQUES AMORIM,ANDERSON SANTOS,BRUNA COSTA,,,"AV. BARAO DE MAUA,743",VILA BOCAINA,MAUA,SP,9310000,-23.666286,-46.45554,DROGARIA SAO PAULO,2006-12-16 00:00:00,NÃO,MADURA,POP_G,Centro Comercial Serviço,4.0,3.0,VD910,442.208.011.117,61.412.110/0218-29,2002110000.0,185.0,76.04,ESCOADORA,PADRÃO,(11)4544-7395,45182723,11910333929,bmaua@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,ATIVO,INATIVO,INATIVO,ATIVO,,,NEW,DSP,-,ANTIGO,NÃO,-,
ATIVA,193.0,213,,,VD213,DSP BAIRRO DOS PIMENTAS,SP SAO MIGUEL,SP LESTE,SP,MARCELO RODRIGUES,VALTER TOMAZ,BRUNA COSTA,,,"ESTR. PRES. JUSCELINO KUBITSCHEK DE OLIVEIRA,4110 S 2",JARDIM ALBERTINA,GUARULHOS,SP,7252000,-23.443051999999998,-46.407807,DROGARIA SAO PAULO,2006-10-31 00:00:00,NÃO,MADURA,CBR_P,Centro Comercial Serviço,5.0,3.0,VD910,336.781.050.118,61.412.110/0221-24,2002130000.0,138.02,42.0,ESCOADORA,PADRÃO,(11)2489-1956,24891957,11934910084,bpimentas@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,ATIVO,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,INATIVO,INATIVO,ATIVO,,,NEW,DSP,-,ANTIGO,NÃO,-,
ATIVA,528.0,214,,,VD214,DSP VILA LEOPOLDINA,SP PINHEIROS,SP CENTRO,SP,CESAR MENDONCA,OLIVEIRA JUNIOR,BRUNA COSTA,,,"RUA CARLOS WEBER,375",VILA LEOPOLDINA,SAO PAULO,SP,5303000,-23.524942,-46.733250999999996,DROGARIA SAO PAULO,2006-12-06 00:00:00,NÃO,MADURA,AR_M,Esquina,22.0,4.0,VD910,116.509.405.112,61.412.110/0203-42,2002140000.0,77.41,40.02,NORMAL,PADRÃO,(11)3831-4702,38342624,11950587012,vleopoldina@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,ATIVO,INATIVO,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,ATIVO,,,NEW,DSP,-,TAKANO,NÃO,-,
ATIVA,842.0,216,,,VD216,DSP CIDADE OCIAN,SP LITORAL SUL,SP LITORAL+ABC,SP,HOCIA SILVA,ANDERSON SANTOS,BRUNA COSTA,,,"AV. PRESIDENTE KENNEDY,7617",CIDADE OCIAN,PRAIA GRANDE,SP,11705000,-24.026756,-46.48121,DROGARIA SAO PAULO,2006-12-23 00:00:00,NÃO,MADURA,POP_M,Meio de Quadra,3.0,3.0,VD910,558202960116,61.412.110/0219-00,2002160000.0,145.05,60.04,ESCOADORA,PADRÃO,(13)3494-1434,34958173,13996999020,cocian@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,COMERCIALIZA,COMERCIALIZA,INATIVO,INATIVO,INATIVO,INATIVO,ATIVO,ATIVO,INATIVO,INATIVO,ATIVO,2023-08-21,2023-10-22,NEW,DSP,SIM,ANTIGO,NÃO,-,
